2022-09-12;41491846
2022-09-11;41490651
2022-09-10;41490098
2022-09-09;41487421
2022-09-08;41485326
2022-09-07;41483208
2022-09-06;41481336
2022-09-05;41479921
2022-09-04;41478604
2022-09-03;41477217
2022-09-02;41475343
2022-09-01;41473266
2022-08-31;41471389
2022-08-30;41469598
2022-08-29;41467838
2022-08-28;41466796
2022-08-27;41465635
2022-08-26;41463579
2022-08-25;41461771
2022-08-24;41459677
2022-08-23;41457678
2022-08-22;41456188
2022-08-21;41455248
2022-08-20;41453989
2022-08-19;41452252
2022-08-18;41450450
2022-08-17;41449116
2022-08-16;41447128
2022-08-15;41445184
2022-08-14;41444185
2022-08-13;41443007
2022-08-12;41440836
2022-08-11;41439148
2022-08-10;41437503
2022-08-09;41435534
2022-08-08;41433759
2022-08-07;41432597
2022-08-06;41431373
2022-08-05;41429542
2022-08-04;41427675
2022-08-03;41426038
2022-08-02;41424238
2022-08-01;41422653
2022-07-31;41421599
2022-07-30;41420562
2022-07-29;41418639
2022-07-28;41416849
2022-07-27;41415139
2022-07-26;41413442
2022-07-25;41411933
2022-07-24;41410512
2022-07-23;41409174
2022-07-22;41407092
2022-07-21;41405190
2022-07-20;41403521
2022-07-19;41402199
2022-07-18;41400206
2022-07-17;41398863
2022-07-16;41397554
2022-07-15;41395845
2022-07-14;41394042
2022-07-13;41392370
2022-07-12;41390532
2022-07-11;41388692
2022-07-10;41387585
2022-07-09;41386139
2022-07-08;41384004
2022-07-07;41381781
2022-07-06;41379930
2022-07-05;41378407
2022-07-04;41377207
2022-07-03;41376265
2022-07-02;41374973
2022-07-01;41373454
2022-06-30;41371587
2022-06-29;41370021
2022-06-28;41368215
2022-06-27;41366330
2022-06-26;41364988
2022-06-25;41363328
2022-06-24;41361224
2022-06-23;41359312
2022-06-22;41357340
2022-06-21;41355658
2022-06-20;41354009
2022-06-19;41353229
2022-06-18;41351785
2022-06-17;41350144
2022-06-16;41348273
2022-06-15;41346409
2022-06-14;41344817
2022-06-13;41342978
2022-06-12;41341426
2022-06-11;41340083
2022-06-10;41338297
2022-06-09;41336124
2022-06-08;41334302
2022-06-07;41332299
2022-06-06;41330561
2022-06-05;41329301
2022-06-04;41327918
2022-06-03;41326053
2022-06-02;41324087
2022-06-01;41321946
2022-05-31;41320289
2022-05-30;41319000
2022-05-29;41317816
2022-05-28;41316412
2022-05-27;41314412
2022-05-26;41312415
2022-05-25;41310415
2022-05-24;41308612
2022-05-23;41307187
2022-05-22;41306083
2022-05-21;41304882
2022-05-20;41302986
2022-05-19;41301002
2022-05-18;41299197
2022-05-17;41297343
2022-05-16;41295832
2022-05-15;41294782
2022-05-14;41293097
2022-05-13;41291324
2022-05-12;41289420
2022-05-11;41287709
2022-05-10;41285999
2022-05-09;41284591
2022-05-08;41283477
2022-05-07;41282335
2022-05-06;41280389
2022-05-05;41278659
2022-05-04;41277101
2022-05-03;41275112
2022-05-02;41272891
2022-05-01;41271597
2022-04-30;41270450
2022-04-29;41268771
2022-04-28;41266837
2022-04-27;41265030
2022-04-26;41263143
2022-04-25;41261169
2022-04-24;41259765
2022-04-23;41258584
2022-04-22;41256777
2022-04-21;41255265
2022-04-20;41253544
2022-04-19;41251574
2022-04-18;41249606
2022-04-17;41248695
2022-04-16;41247034
2022-04-15;41245228
2022-04-14;41243231
2022-04-13;41241549
2022-04-12;41239510
2022-04-11;41237664
2022-04-10;41236740
2022-04-09;41235329
2022-04-08;41233691
2022-04-07;41231667
2022-04-06;41229734
2022-04-05;41228087
2022-04-04;41226435
2022-04-03;41225328
2022-04-02;41223886
2022-04-01;41222034
2022-03-31;41220396
2022-03-30;41218224
2022-03-29;41216155
2022-03-28;41214213
2022-03-27;41212576
2022-03-26;41211193
2022-03-25;41209218
2022-03-24;41207370
2022-03-23;41205416
2022-03-22;41203533
2022-03-21;41201742
2022-03-20;41200683
2022-03-19;41199316
2022-03-18;41197434
2022-03-17;41195387
2022-03-16;41193351
2022-03-15;41191605
2022-03-14;41189604
2022-03-13;41188309
2022-03-12;41186870
2022-03-11;41185207
2022-03-10;41183076
2022-03-09;41180494
2022-03-08;41178103
2022-03-07;41175969
2022-03-06;41174861
2022-03-05;41172688
2022-03-04;41170471
2022-03-03;41168299
2022-03-02;41166094
2022-03-01;41163616
2022-02-28;41161054
2022-02-27;41159385
2022-02-26;41157549
2022-02-25;41155122
2022-02-24;41152554
2022-02-23;41150317
2022-02-22;41148357
2022-02-21;41146711
2022-02-20;41145256
2022-02-19;41144215
2022-02-18;41142404
2022-02-17;41140009
2022-02-16;41138439
2022-02-15;41136411
2022-02-14;41135011
2022-02-13;41133504
2022-02-12;41132349
2022-02-11;41130283
2022-02-10;41128083
2022-02-09;41125783
2022-02-08;41123848
2022-02-07;41121883
2022-02-06;41120774
2022-02-05;41119253
2022-02-04;41117070
2022-02-03;41115144
2022-02-02;41113146
2022-02-01;41110954
2022-01-31;41108870
2022-01-30;41107459
2022-01-29;41105698
2022-01-28;41103318
2022-01-27;41101347
2022-01-26;41099218
2022-01-25;41097087
2022-01-24;41095024
2022-01-23;41093304
2022-01-22;41091405
2022-01-21;41089217
2022-01-20;41087004
2022-01-19;41084935
2022-01-18;41082591
2022-01-17;41081191
2022-01-16;41079527
2022-01-15;41077691
2022-01-14;41075451
2022-01-13;41073048
2022-01-12;41071063
2022-01-11;41069225
2022-01-10;41067302
2022-01-09;41066083
2022-01-08;41064501
2022-01-07;41062262
2022-01-06;41060212
2022-01-05;41058030
2022-01-04;41055791
2022-01-03;41053983
2022-01-02;41052742
2022-01-01;41051340
2021-12-31;41049297
2021-12-30;41047422
2021-12-29;41045813
2021-12-28;41044363
2021-12-27;41042546
2021-12-26;41041230
2021-12-25;41039862
2021-12-24;41038169
2021-12-23;41036346
2021-12-22;41034592
2021-12-21;41032427
2021-12-20;41030682
2021-12-19;41029397
2021-12-18;41027908
2021-12-17;41025888
2021-12-16;41023852
2021-12-15;41021798
2021-12-14;41019934
2021-12-13;41017980
2021-12-12;41016745
2021-12-11;41015219
2021-12-10;41013407
2021-12-09;41010814
2021-12-08;41009032
2021-12-07;41007001
2021-12-06;41005058
2021-12-05;41003621
2021-12-04;41002294
2021-12-03;41000158
2021-12-02;40997984
2021-12-01;40995717
2021-11-30;40993433
2021-11-29;40991684
2021-11-28;40990445
2021-11-27;40988919
2021-11-26;40987299
2021-11-25;40985747
2021-11-24;40983975
2021-11-23;40982151
2021-11-22;40980114
2021-11-21;40978691
2021-11-20;40977176
2021-11-19;40975080
2021-11-18;40973079
2021-11-17;40970903
2021-11-16;40968763
2021-11-15;40966811
2021-11-14;40965236
2021-11-13;40963740
2021-11-12;40961823
2021-11-11;40960248
2021-11-10;40957589
2021-11-09;40955037
2021-11-08;40953152
2021-11-07;40951842
2021-11-06;40950138
2021-11-05;40948253
2021-11-04;40945895
2021-11-03;40943892
2021-11-02;40941775
2021-11-01;40939926
2021-10-31;40938909
2021-10-30;40937275
2021-10-29;40936042
2021-10-28;40933441
2021-10-27;40931226
2021-10-26;40929257
2021-10-25;40927268
2021-10-24;40925782
2021-10-23;40924230
2021-10-22;40922006
2021-10-21;40919797
2021-10-20;40917688
2021-10-19;40915393
2021-10-18;40913341
2021-10-17;40912206
2021-10-16;40910633
2021-10-15;40908828
2021-10-14;40906642
2021-10-13;40904709
2021-10-12;40902950
2021-10-11;40900705
2021-10-10;40899527
2021-10-09;40898060
2021-10-08;40896373
2021-10-07;40894289
2021-10-06;40892610
2021-10-05;40890650
2021-10-04;40888498
2021-10-03;40887060
2021-10-02;40885841
2021-10-01;40884073
2021-09-30;40881734
2021-09-29;40879930
2021-09-28;40877700
2021-09-27;40876009
2021-09-26;40874205
2021-09-25;40872761
2021-09-24;40870622
2021-09-23;40868521
2021-09-22;40866232
2021-09-21;40864041
2021-09-20;40862163
2021-09-19;40860673
2021-09-18;40858954
2021-09-17;40856755
2021-09-16;40854842
2021-09-15;40852464
2021-09-14;40849999
2021-09-13;40848025
2021-09-12;40846980
2021-09-11;40845513
2021-09-10;40843276
2021-09-09;40840732
2021-09-08;40838735
2021-09-07;40836750
2021-09-06;40835179
2021-09-05;40833930
2021-09-04;40832250
2021-09-03;40830471
2021-09-02;40828332
2021-09-01;40826255
2021-08-31;40823857
2021-08-30;40821698
2021-08-29;40820374
2021-08-28;40819046
2021-08-27;40816956
2021-08-26;40814668
2021-08-25;40812044
2021-08-24;40810226
2021-08-23;40808235
2021-08-22;40807053
2021-08-21;40805905
2021-08-20;40803609
2021-08-19;40801067
2021-08-18;40799253
2021-08-17;40797375
2021-08-16;40795812
2021-08-15;40794246
2021-08-14;40792763
2021-08-13;40790613
2021-08-12;40788527
2021-08-11;40786761
2021-08-10;40784458
2021-08-09;40782226
2021-08-08;40780866
2021-08-07;40779544
2021-08-06;40777457
2021-08-05;40775428
2021-08-04;40773006
2021-08-03;40770937
2021-08-02;40768844
2021-08-01;40767403
2021-07-31;40766467
2021-07-30;40764123
2021-07-29;40761725
2021-07-28;40759562
2021-07-27;40757744
2021-07-26;40755351
2021-07-25;40753927
2021-07-24;40752559
2021-07-23;40750387
2021-07-22;40748094
2021-07-21;40745831
2021-07-20;40743798
2021-07-19;40741626
2021-07-18;40740180
2021-07-17;40738412
2021-07-16;40736216
2021-07-15;40734007
2021-07-14;40732226
2021-07-13;40729765
2021-07-12;40727520
2021-07-11;40725943
2021-07-10;40724018
2021-07-09;40721742
2021-07-08;40719665
2021-07-07;40717218
2021-07-06;40714612
2021-07-05;40712963
2021-07-04;40711585
2021-07-03;40710316
2021-07-02;40708229
2021-07-01;40706428
2021-06-30;40704636
2021-06-29;40702812
2021-06-28;40700783
2021-06-27;40699624
2021-06-26;40697879
2021-06-25;40695719
2021-06-24;40693640
2021-06-23;40691511
2021-06-22;40689090
2021-06-21;40687241
2021-06-20;40685752
2021-06-19;40684153
2021-06-18;40682184
2021-06-17;40679752
2021-06-16;40677527
2021-06-15;40674969
2021-06-14;40672814
2021-06-13;40671307
2021-06-12;40669395
2021-06-11;40667067
2021-06-10;40664623
2021-06-09;40662364
2021-06-08;40660464
2021-06-07;40657855
2021-06-06;40656356
2021-06-05;40654865
2021-06-04;40652911
2021-06-03;40651033
2021-06-02;40648891
2021-06-01;40646740
2021-05-31;40645048
2021-05-30;40643686
2021-05-29;40642434
2021-05-28;40640441
2021-05-27;40638317
2021-05-26;40636333
2021-05-25;40633919
2021-05-24;40631483
2021-05-23;40629979
2021-05-22;40628371
2021-05-21;40626256
2021-05-20;40624080
2021-05-19;40621646
2021-05-18;40619752
2021-05-17;40617578
2021-05-16;40615781
2021-05-15;40614365
2021-05-14;40612350
2021-05-13;40609822
2021-05-12;40607836
2021-05-11;40605288
2021-05-10;40603148
2021-05-09;40601648
2021-05-08;40600281
2021-05-07;40598421
2021-05-06;40596131
2021-05-05;40593679
2021-05-04;40591531
2021-05-03;40589542
2021-05-02;40588176
2021-05-01;40586780
2021-04-30;40584634
2021-04-29;40582477
2021-04-28;40580269
2021-04-27;40578400
2021-04-26;40576324
2021-04-25;40575118
2021-04-24;40573492
2021-04-23;40571457
2021-04-22;40569440
2021-04-21;40567461
2021-04-20;40565032
2021-04-19;40562724
2021-04-18;40561267
2021-04-17;40559710
2021-04-16;40557767
2021-04-15;40555684
2021-04-14;40553416
2021-04-13;40551438
2021-04-12;40549475
2021-04-11;40548364
2021-04-10;40547115
2021-04-09;40545368
2021-04-08;40542868
2021-04-07;40541001
2021-04-06;40539273
2021-04-05;40537221
2021-04-04;40535869
2021-04-03;40534320
2021-04-02;40532329
2021-04-01;40529866
2021-03-31;40527321
2021-03-30;40524979
2021-03-29;40522984
2021-03-28;40521490
2021-03-27;40519685
2021-03-26;40517461
2021-03-25;40515302
2021-03-24;40512853
2021-03-23;40510685
2021-03-22;40508195
2021-03-21;40506635
2021-03-20;40505238
2021-03-19;40502761
2021-03-18;40500221
2021-03-17;40497532
2021-03-16;40495063
2021-03-15;40492346
2021-03-14;40490120
2021-03-13;40488135
2021-03-12;40485784
2021-03-11;40482893
2021-03-10;40480272
2021-03-09;40477652
2021-03-08;40475191
